,question,choices,answer,unit,table_title,table,table_for_pd,row_num,column_num,solution,ques_type,ans_type,grade,split,cluster,index
30346,Look at the following schedule. Tom got on the train at Richmond at 6.15 P.M. What time will he get to Dover?,"['5:45 P.M.', '11:00 A.M.', '12:00 A.M.', '9:30 P.M.']",9:30 P.M.,,Train schedule,"Richmond | 5:15 A.M. | 7:45 A.M. | 12:00 P.M. | 6:15 P.M.
Allenville | 5:45 A.M. | 8:15 A.M. | 12:30 P.M. | 6:45 P.M.
Newport | 7:00 A.M. | 9:30 A.M. | 1:45 P.M. | 8:00 P.M.
Dover | 8:30 A.M. | 11:00 A.M. | 3:15 P.M. | 9:30 P.M.
Lancaster | 10:15 A.M. | 12:45 P.M. | 5:00 P.M. | 11:15 P.M.
Winchester | 11:00 A.M. | 1:30 P.M. | 5:45 P.M. | 12:00 A.M.","{'Column 1': ['Richmond', 'Allenville', 'Newport', 'Dover', 'Lancaster', 'Winchester'], 'Column 2': ['5:15 A.M.', '5:45 A.M.', '7:00 A.M.', '8:30 A.M.', '10:15 A.M.', '11:00 A.M.'], 'Column 3': ['7:45 A.M.', '8:15 A.M.', '9:30 A.M.', '11:00 A.M.', '12:45 P.M.', '1:30 P.M.'], 'Column 4': ['12:00 P.M.', '12:30 P.M.', '1:45 P.M.', '3:15 P.M.', '5:00 P.M.', '5:45 P.M.'], 'Column 5': ['6:15 P.M.', '6:45 P.M.', '8:00 P.M.', '9:30 P.M.', '11:15 P.M.', '12:00 A.M.']}",6,5,"Find 6:15 P. M. in the row for Richmond. That column shows the schedule for the train that Tom is on.

Look down the column until you find the row for Dover.

Tom will get to Dover at 9:30 P. M.",multi_choice,extractive_text,4,train,4,8674
7694,Each field has 2 donkeys. How many donkeys are in 3 fields?,,6,,,"Number of fields | Number of donkeys
1 | 2
2 | 4
3 | ?","{'Number of fields': ['1', '2', '3'], 'Number of donkeys': ['2', '4', '?']}",4,2,Count by twos. Use the chart: there are 6 donkeys in 3 fields.,free_text,integer_number,2,train,0,14299
32489,A farmer counted the number of apples on each tree in her orchard. How many trees have exactly 37 apples?,,3,,Apples per tree,"Stem | Leaf 
1 | 6, 9
2 | 4
3 | 7, 7, 7, 9
4 | 
5 | 
6 | 
7 | 1, 8
8 | 2, 8, 9
9 | 0","{'Stem': ['1', '2', '3', '4', '5', '6', '7', '8', '9'], 'Leaf ': ['6, 9', '4', '7, 7, 7, 9', '', '', '', '1, 8', '2, 8, 9', '0']}",10,2,"For the number 37, the stem is 3, and the leaf is 7. Find the row where the stem is 3. In that row, count all the leaves equal to 7.

You counted 3 leaves, which are blue in the stem-and-leaf plot above. 3 trees have exactly 37 apples.",free_text,integer_number,4,train,1,7296
21934,How much money does Lindsey need to buy an orange marker and a green colored pencil?,,1.08,$,,"package of crayons | $0.81
bright yellow highlighter | $0.79
orange marker | $0.80
silver pen | $0.38
thin green highlighter | $0.59
green colored pencil | $0.28","{'Column 1': ['package of crayons', 'bright yellow highlighter', 'orange marker', 'silver pen', 'thin green highlighter', 'green colored pencil'], 'Column 2': ['$0.81', '$0.79', '$0.80', '$0.38', '$0.59', '$0.28']}",6,2,"Add the price of an orange marker and the price of a green colored pencil:

$0.80 + $0.28 = $1.08

Lindsey needs $1.08.",free_text,decimal_number,3,train,2,5568
19141,The table shows a function. Is the function linear or nonlinear?,"['linear', 'nonlinear']",nonlinear,,,"x | y
16 | 14
17 | 18
18 | 19","{'x': ['16', '17', '18'], 'y': ['14', '18', '19']}",4,2,"To determine whether the function is linear or nonlinear, see whether it has a constant rate of change.
Pick the points in any two rows of the table and calculate the rate of change between them. The first two rows are a good place to start.
Call the values in the first row x1 and y1. Call the values in the second row x2 and y2.
Rate of change = \frac{y2 - y1}{x2 - x1}
 = \frac{18 - 14}{17 - 16}
 = \frac{4}{1}
 = 4
Now pick any other two rows and calculate the rate of change between them.
Call the values in the second row x1 and y1. Call the values in the third row x2 and y2.
Rate of change = \frac{y2 - y1}{x2 - x1}
 = \frac{19 - 18}{18 - 17}
 = \frac{1}{1}
 = 1
The rate of change is not the same for each pair of points. So, the function does not have a constant rate of change.
The function is nonlinear.",multi_choice,boolean_text,8,train,3,156
11516,Look at the following schedule. When does the train depart from Fairview?,"['2:30 A.M.', '12:30 A.M.', '12:10 A.M.', '2:05 A.M.']",2:30 A.M.,,Train schedule,"Location | Arrive | Depart
Norwood | 10:20 P.M. | 10:40 P.M.
Burlington | 12:10 A.M. | 12:30 A.M.
Fairview | 2:05 A.M. | 2:30 A.M.
Hillsboro | 3:20 A.M. | 3:40 A.M.
Lexington | 5:15 A.M. | 5:25 A.M.
Kingwood | 6:40 A.M. | 7:00 A.M.","{'Location': ['Norwood', 'Burlington', 'Fairview', 'Hillsboro', 'Lexington', 'Kingwood'], 'Arrive': ['10:20 P.M.', '12:10 A.M.', '2:05 A.M.', '3:20 A.M.', '5:15 A.M.', '6:40 A.M.'], 'Depart': ['10:40 P.M.', '12:30 A.M.', '2:30 A.M.', '3:40 A.M.', '5:25 A.M.', '7:00 A.M.']}",7,3,"Find Fairview on the schedule. Find the departure time for Fairview.

Fairview: 2:30 A. M.",multi_choice,extractive_text,3,train,4,2539
20696,Jim looked at his calendar to see how many hours he had worked in the past 7 days. What is the median of the numbers?,,6,,Hours worked,"Day | Hours
Sunday | 3
Monday | 3
Tuesday | 6
Wednesday | 8
Thursday | 6
Friday | 4
Saturday | 9","{'Day': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'Hours': ['3', '3', '6', '8', '6', '4', '9']}",8,2,"Read the numbers from the table.

3, 3, 6, 8, 6, 4, 9

First, arrange the numbers from least to greatest:

3, 3, 4, 6, 6, 8, 9

Now find the number in the middle.

3, 3, 4, 6, 6, 8, 9

The number in the middle is 6.

The median is 6.",free_text,integer_number,6,train,0,9044
23633,"During Fitness Day at school, Kimberly and her classmates took part in a pull-up competition, keeping track of the results. What is the largest number of pull-ups done?",,79,pull-ups,Pull-up competition (number of pull-ups),"Stem | Leaf 
1 | 0, 7
2 | 4, 9, 9
3 | 4, 6
4 | 0, 2, 3
5 | 3, 6, 8
6 | 5
7 | 5, 9","{'Stem': ['1', '2', '3', '4', '5', '6', '7'], 'Leaf ': ['0, 7', '4, 9, 9', '4, 6', '0, 2, 3', '3, 6, 8', '5', '5, 9']}",8,2,"Look at the last row of the stem-and-leaf plot. The last row has the highest stem. The stem for the last row is 7.

Now find the highest leaf in the last row. The highest leaf is 9.

The largest number of pull-ups done has a stem of 7 and a leaf of 9. Write the stem first, then the leaf: 79.

The largest number of pull-ups done is 79 pull-ups.",free_text,integer_number,6,train,1,10610
23109,How much more does an iguana cost than a king snake?,,54,$,,"king snake | $188
chameleon | $252
finch | $197
rabbit | $105
cockatoo | $268
iguana | $242","{'Column 1': ['king snake', 'chameleon', 'finch', 'rabbit', 'cockatoo', 'iguana'], 'Column 2': ['$188', '$252', '$197', '$105', '$268', '$242']}",6,2,"Subtract the price of a king snake from the price of an iguana.

$242 - $188 = $54

An iguana costs $54 more than a king snake.",free_text,integer_number,4,train,2,5537
14927,The table shows a function. Is the function linear or nonlinear?,"['linear', 'nonlinear']",nonlinear,,,"x | y
13 | 0
14 | 3
15 | 13","{'x': ['13', '14', '15'], 'y': ['0', '3', '13']}",4,2,"To determine whether the function is linear or nonlinear, see whether it has a constant rate of change.
Pick the points in any two rows of the table and calculate the rate of change between them. The first two rows are a good place to start.
Call the values in the first row x1 and y1. Call the values in the second row x2 and y2.
Rate of change = \frac{y2 - y1}{x2 - x1}
 = \frac{3 - 0}{14 - 13}
 = \frac{3}{1}
 = 3
Now pick any other two rows and calculate the rate of change between them.
Call the values in the second row x1 and y1. Call the values in the third row x2 and y2.
Rate of change = \frac{y2 - y1}{x2 - x1}
 = \frac{13 - 3}{15 - 14}
 = \frac{10}{1}
 = 10
The rate of change is not the same for each pair of points. So, the function does not have a constant rate of change.
The function is nonlinear.",multi_choice,boolean_text,8,train,3,4386
34526,Look at the following schedule. When does the speech team meeting end?,"['5:25 P.M.', '5:55 P.M.', '4:20 P.M.', '5:35 P.M.']",4:20 P.M.,,High school schedule,"Event | Begin | End
speech team meeting | 2:45 P.M. | 4:20 P.M.
choir rehearsal | 3:45 P.M. | 5:25 P.M.
theater auditions | 4:50 P.M. | 5:35 P.M.
swim team practice | 4:55 P.M. | 5:55 P.M.
women's basketball practice | 5:20 P.M. | 6:05 P.M.","{'Event': ['speech team meeting', 'choir rehearsal', 'theater auditions', 'swim team practice', ""women's basketball practice""], 'Begin': ['2:45 P.M.', '3:45 P.M.', '4:50 P.M.', '4:55 P.M.', '5:20 P.M.'], 'End': ['4:20 P.M.', '5:25 P.M.', '5:35 P.M.', '5:55 P.M.', '6:05 P.M.']}",6,3,"Find the speech team meeting on the schedule. Find the end time for the speech team meeting.

speech team meeting: 4:20 P. M.",multi_choice,extractive_text,3,train,4,8396
7812,Caleb's class recorded how many states each student has visited. What is the median of the numbers?,,8,,States visited,"Name | Number of states
Caleb | 8
Desmond | 8
Gwen | 4
Sasha | 9
Baldwin | 9","{'Name': ['Caleb', 'Desmond', 'Gwen', 'Sasha', 'Baldwin'], 'Number of states': ['8', '8', '4', '9', '9']}",6,2,"Read the numbers from the table.

8, 8, 4, 9, 9

First, arrange the numbers from least to greatest:

4, 8, 8, 9, 9

Now find the number in the middle.

4, 8, 8, 9, 9

The number in the middle is 8.

The median is 8.",free_text,integer_number,7,train,0,13078
16491,A statistics lab required students to draw cards numbered between 1 and 6 and track the results. Which number was drawn the most times?,,4,,Drawing a number between 1 and 6,"Number drawn | Frequency
1 | 10
2 | 7
3 | 11
4 | 17
5 | 13
6 | 3","{'Number drawn': ['1', '2', '3', '4', '5', '6'], 'Frequency': ['10', '7', '11', '17', '13', '3']}",7,2,"Look at the frequency column. Find the greatest frequency. The greatest frequency is 17, which is in the row for 4. 4 was drawn the most times.",free_text,integer_number,8,train,1,15734
38244,How much money does Jada need to buy spaghetti and meatballs and grilled eggplant?,,10,$,,"pasta with tomato sauce | $5.00
spaghetti and meatballs | $4.00
steamed broccoli | $6.00
green salad | $4.00
grilled eggplant | $6.00
cheese pizza | $4.00","{'Column 1': ['pasta with tomato sauce', 'spaghetti and meatballs', 'steamed broccoli', 'green salad', 'grilled eggplant', 'cheese pizza'], 'Column 2': ['$5.00', '$4.00', '$6.00', '$4.00', '$6.00', '$4.00']}",6,2,"Add the price of spaghetti and meatballs and the price of grilled eggplant:

$4.00 + $6.00 = $10.00

Jada needs $10.00.",free_text,integer_number,4,train,2,6215
3297,Look at this table. Is this relation a function?,"['yes', 'no']",no,,,"x | y
3 | 16
0 | 20
3 | 19","{'x': ['3', '0', '3'], 'y': ['16', '20', '19']}",4,2,"Look at the x-values in the table.

The x-value 3 is paired with multiple y-values, so the relation is not a function.",multi_choice,boolean_text,8,train,3,669
3037,Look at the following schedule. When does the Tigers versus Wolves game end?,"['3:15 P.M.', '12:45 P.M.', '1:10 P.M.', '11:55 A.M.']",11:55 A.M.,,Soccer tournament schedule,"Game | Begin | End
Hawks versus Jaguars | 10:10 A.M. | 11:40 A.M.
Tigers versus Wolves | 10:25 A.M. | 11:55 A.M.
Waves versus Alligators | 11:15 A.M. | 12:45 P.M.
Cardinals versus Cobras | 11:40 A.M. | 1:10 P.M.
Fire versus Blizzard | 12:55 P.M. | 2:25 P.M.
Dolphins versus Bears | 1:25 P.M. | 2:55 P.M.
Thunder versus Eagles | 1:45 P.M. | 3:15 P.M.","{'Game': ['Hawks versus Jaguars', 'Tigers versus Wolves', 'Waves versus Alligators', 'Cardinals versus Cobras', 'Fire versus Blizzard', 'Dolphins versus Bears', 'Thunder versus Eagles'], 'Begin': ['10:10 A.M.', '10:25 A.M.', '11:15 A.M.', '11:40 A.M.', '12:55 P.M.', '1:25 P.M.', '1:45 P.M.'], 'End': ['11:40 A.M.', '11:55 A.M.', '12:45 P.M.', '1:10 P.M.', '2:25 P.M.', '2:55 P.M.', '3:15 P.M.']}",8,3,"Find the Tigers versus Wolves game on the schedule. Find the end time for the Tigers versus Wolves game.

Tigers versus Wolves: 11:55 A. M.",multi_choice,extractive_text,3,train,4,4264
